Year|Month|Day|rainfall_mm|min_temp_C|max_temp_C|daily_avg|daily_range|uv_MJ_m*m|Season
1984|4|1|0.0|12.4|29.7|21.05|17.3||3
1984|5|1|4.4|12.8|20.4|16.6|7.6||3
1984|6|1|0.0|9.3|21.6|15.45|12.3||4
1984|7|1|0.8|7.0|16.8|11.9|9.8||4
1984|8|1|0.0|7.1|20.7|13.9|13.6||4
1984|9|1|0.4|10.0|17.9|13.95|7.9||1
1984|10|1|2.6|11.1|18.9|15.0|7.8||1
1984|11|1|0.0|9.1|22.8|15.95|13.7||1
1984|12|1|0.0|11.5|24.0|17.75|12.5||2
1985|1|1|0.0|12.7|26.4|19.55|13.7||2
1985|3|1|0.0|19.0|31.4|25.2|12.4||3
1985|4|1|0.0|13.9|25.8|19.85|11.9||3
1985|5|1|0.0|9.6|25.7|17.65|16.1||3
1985|6|1|0.0|3.7|19.7|11.7|16.0||4
1985|7|1|42.4|14.9|19.2|17.05|4.3||4
1985|8|1|2.4|10.8|19.6|15.2|8.8||4
1985|9|1|0.0|8.0|17.7|12.85|9.7||1
1985|10|1|0.0|6.2|24.9|15.55|18.7||1
1985|11|1|0.0|16.7|37.4|27.05|20.7||1
1985|12|1|0.0|12.8|23.2|18.0|10.4||2
1986|1|1|0.0|18.1|37.5|27.8|19.4||2
1986|2|1|0.0|16.5|32.1|24.3|15.6||2
1986|3|1|0.0|18.7|34.3|26.5|15.6||3
1986|4|1|0.2|14.8|22.1|18.45|7.3||3
1986|5|1|0.0|11.7|26.0|18.85|14.3||3
1986|6|1|0.0|6.6|21.3|13.95|14.7||4
1986|7|1|0.0|6.1|17.5|11.8|11.4||4
1986|8|1|8.2|7.1|18.2|12.65|11.1||4
